"BESTELLIDENT";"TARGET_BETRUG";"B_EMAIL";"B_TELEFON";"B_GEBDATUM";"FLAG_LRIDENTISCH";"FLAG_NEWSLETTER";"Z_METHODE";"Z_CARD_ART";"Z_CARD_VALID";"Z_LAST_NAME";"WERT_BEST";"TAG_BEST";"TIME_BEST";"ANZ_BEST";"CHK_LADR";"CHK_RADR";"CHK_KTO";"CHK_CARD";"CHK_COOKIE";"CHK_IP";"FAIL_LPLZ";"FAIL_LORT";"FAIL_LPLZORTMATCH";"FAIL_RPLZ";"FAIL_RORT";"FAIL_RPLZORTMATCH";"SESSION_TIME";"NEUKUNDE";"ANZ_BEST_GES";"WERT_BEST_GES";"DATUM_LBEST";"MAHN_AKT";"MAHN_HOECHST";"ANUMMER_LIST"
"42729";"nein";"nein";"ja";"1974-09-05 00:00:00.000";"ja";"nein";"Rechnung";"-";"04.2005";"-";"39,5";"So";"1899-12-30 05:29:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"7";"nein";"1";"63";"2003-10-30 00:00:00.000";"0";"0";"[201893]"
"42730";"nein";"nein";"ja";"1974-05-01 00:00:00.000";"ja";"nein";"Rechnung";"-";"03.2006";"-";"16";"Fr";"1899-12-30 09:08:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[400767]"
"42731";"nein";"ja";"nein";"1974-01-06 00:00:00.000";"ja";"nein";"Rechnung";"-";"10.2007";"-";"61";"Fr";"1899-12-30 22:33:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[106520,401893]"
"42732";"nein";"ja";"nein";"1980-09-13 00:00:00.000";"ja";"nein";"Rechnung";"-";"09.2007";"-";"50,1";"So";"1899-12-30 10:43:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"nein";"2";"164,52";"2001-02-17 00:00:00.000";"1";"1";"[406520,301371]"
"42733";"nein";"ja";"ja";"1976-03-18 00:00:00.000";"nein";"nein";"Kreditkarte";"Eurocard";"05.2007";"ja";"26";"Mo";"1899-12-30 09:16:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[106398]"
"42734";"nein";"ja";"nein";"1986-02-25 00:00:00.000";"nein";"nein";"Kreditkarte";"Visa";"05.2005";"ja";"68,4";"Mo";"1899-12-30 09:59:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"9";"nein";"1";"37,72";"2003-06-14 00:00:00.000";"0";"2";"[406590]"
"42738";"nein";"nein";"nein";"1971-06-28 00:00:00.000";"ja";"nein";"Rechnung";"-";"06.2007";"-";"26,49";"Fr";"1899-12-30 09:24:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"4";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[205431,207046]"
"42740";"nein";"ja";"nein";"1963-02-03 00:00:00.000";"nein";"nein";"Kreditkarte";"Visa";"10.2006";"ja";"34,5";"Mo";"1899-12-30 01:50:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"13";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[105431]"
"42741";"nein";"ja";"nein";"1899-12-30 00:00:00.000";"ja";"nein";"Kundenkarte";"Kundenkarte";"05.2007";"ja";"55,4";"Sa";"1899-12-30 02:26:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"nein";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[100147,508499]"
"42742";"nein";"ja";"nein";"1966-11-19 00:00:00.000";"ja";"nein";"Kreditkarte";"Visa";"04.2005";"ja";"34,99";"Mo";"1899-12-30 11:08:00.000";"3";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"6";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[206821,204921,404504]"
"42743";"nein";"ja";"nein";"1967-12-03 00:00:00.000";"nein";"nein";"Kreditkarte";"Amex";"09.2005";"ja";"9,99";"So";"1899-12-30 08:18:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"5";"nein";"1";"294,26";"2002-10-05 00:00:00.000";"0";"0";"[102090]"
"42745";"nein";"nein";"nein";"1979-12-19 00:00:00.000";"nein";"nein";"Kreditkarte";"Visa";"03.2006";"ja";"85,5";"Mo";"1899-12-30 14:43:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"6";"nein";"1";"36,26";"2003-11-24 00:00:00.000";"0";"0";"[404134,607359]"
"42746";"ja";"nein";"nein";"1978-01-05 00:00:00.000";"ja";"nein";"Rechnung";"-";"08.2007";"-";"14,5";"Mo";"1899-12-30 13:42:00.000";"1";"nein";"nein";"nein";"nein";"nein";"ja";"nein";"nein";"nein";"nein";"nein";"nein";"5";"nein";"1";"24,56";"2003-10-11 00:00:00.000";"0";"0";"[402062]"
"42747";"nein";"ja";"nein";"1899-12-30 00:00:00.000";"ja";"nein";"Rechnung";"-";"10.2007";"-";"55,5";"Do";"1899-12-30 03:53:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"14";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[201893,607699]"
"42749";"nein";"ja";"nein";"1970-12-04 00:00:00.000";"nein";"nein";"Lastschrift";"-";"11.2006";"ja";"43,5";"Fr";"1899-12-30 19:30:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"7";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[309102]"
"42751";"nein";"ja";"nein";"1983-12-12 00:00:00.000";"ja";"nein";"Rechnung";"-";"11.2005";"-";"17,5";"Fr";"1899-12-30 11:48:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"16";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[100476]"
"42752";"nein";"ja";"nein";"1957-03-01 00:00:00.000";"nein";"nein";"Lastschrift";"-";"01.2005";"ja";"43,5";"Sa";"1899-12-30 15:41:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"9";"nein";"2";"10,56";"2002-12-19 00:00:00.000";"0";"0";"[409102]"
"42753";"nein";"ja";"nein";"1960-08-24 00:00:00.000";"ja";"nein";"Kreditkarte";"Visa";"03.2005";"ja";"6,5";"Di";"1899-12-30 08:20:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"12";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[209725]"
"42754";"nein";"nein";"nein";"1978-08-19 00:00:00.000";"ja";"nein";"Kreditkarte";"Eurocard";"06.2005";"ja";"35,75";"Sa";"1899-12-30 09:37:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"11";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[201648,109121]"
"42757";"nein";"ja";"nein";"1952-05-09 00:00:00.000";"ja";"nein";"Kreditkarte";"Visa";"11.2006";"ja";"17,99";"Mi";"1899-12-30 21:07:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"11";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[204645]"
"42758";"nein";"ja";"nein";"1984-08-23 00:00:00.000";"nein";"nein";"Lastschrift";"-";"06.2005";"ja";"49,4";"Fr";"1899-12-30 10:30:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"9";"nein";"1";"55,69";"2004-11-13 00:00:00.000";"0";"3";"[506398,409731]"
"42760";"nein";"ja";"nein";"1936-02-06 00:00:00.000";"nein";"ja";"Kundenkarte";"Kundenkarte";"12.2005";"ja";"105,5";"Do";"1899-12-30 09:59:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"nein";"1";"13,36";"2003-03-29 00:00:00.000";"0";"0";"[405338,407300]"
"42762";"nein";"ja";"nein";"1978-12-05 00:00:00.000";"nein";"nein";"Lastschrift";"-";"12.2007";"ja";"32,8";"Fr";"1899-12-30 10:27:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"7";"nein";"1";"10,23";"2003-05-11 00:00:00.000";"0";"0";"[507046]"
"42763";"nein";"ja";"nein";"1976-05-04 00:00:00.000";"nein";"nein";"Kreditkarte";"Eurocard";"06.2005";"ja";"54,5";"Sa";"1899-12-30 10:57:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"nein";"1";"13,12";"2001-11-13 00:00:00.000";"0";"0";"[406398]"
"42764";"nein";"ja";"nein";"1973-12-15 00:00:00.000";"ja";"nein";"Rechnung";"-";"06.2006";"-";"46,5";"Fr";"1899-12-30 20:58:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"7";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[601371]"
"42765";"nein";"nein";"nein";"1970-03-26 00:00:00.000";"ja";"nein";"Kreditkarte";"Visa";"03.2005";"ja";"153,3";"Sa";"1899-12-30 16:31:00.000";"4";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"9";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[101511,503950,408777,303639]"
"42766";"nein";"nein";"nein";"1971-11-23 00:00:00.000";"ja";"nein";"Rechnung";"-";"05.2005";"-";"88,49";"Do";"1899-12-30 15:12:00.000";"3";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"5";"nein";"1";"58,06";"2002-05-26 00:00:00.000";"0";"0";"[200450,209736,401564]"
"42767";"nein";"ja";"nein";"1970-02-01 00:00:00.000";"ja";"nein";"Rechnung";"-";"05.2006";"-";"9,8";"So";"1899-12-30 13:49:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"5";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[105338]"
"42768";"nein";"ja";"nein";"1977-03-16 00:00:00.000";"nein";"nein";"Kreditkarte";"Eurocard";"01.2005";"ja";"54,5";"So";"1899-12-30 23:10:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"6";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[200576]"
"42769";"nein";"nein";"nein";"1899-12-30 00:00:00.000";"ja";"nein";"Rechnung";"-";"03.2006";"-";"52";"Sa";"1899-12-30 17:42:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"7";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[605580]"
"42770";"nein";"ja";"nein";"1978-10-06 00:00:00.000";"nein";"nein";"Kreditkarte";"Amex";"01.2005";"ja";"78";"Mi";"1899-12-30 02:45:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[603776,400767]"
"42771";"nein";"ja";"nein";"1961-01-29 00:00:00.000";"ja";"nein";"Rechnung";"-";"06.2006";"-";"42,8";"Fr";"1899-12-30 14:45:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"11";"nein";"1";"43,26";"2004-11-18 00:00:00.000";"0";"0";"[100147]"
"42772";"nein";"nein";"ja";"1899-12-30 00:00:00.000";"ja";"nein";"Rechnung";"-";"01.2007";"-";"19,99";"Mi";"1899-12-30 02:40:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"12";"nein";"1";"31,96";"2003-04-22 00:00:00.000";"3";"3";"[104485]"
"42773";"nein";"ja";"nein";"1978-12-18 00:00:00.000";"ja";"nein";"Rechnung";"-";"05.2006";"-";"18,5";"So";"1899-12-30 12:25:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"nein";"1";"54,73";"2004-11-10 00:00:00.000";"0";"1";"[509670]"
"42774";"nein";"ja";"nein";"1964-01-04 00:00:00.000";"ja";"nein";"Kundenkarte";"Kundenkarte";"10.2005";"ja";"18,2";"Di";"1899-12-30 13:17:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"18";"nein";"1";"17,95";"2004-07-27 00:00:00.000";"0";"0";"[103776]"
"42775";"nein";"ja";"nein";"1981-04-15 00:00:00.000";"nein";"nein";"Kreditkarte";"Visa";"05.2006";"ja";"17,8";"Sa";"1899-12-30 12:30:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"8";"nein";"1";"61,15";"2002-06-29 00:00:00.000";"0";"0";"[406120]"
"42776";"nein";"ja";"nein";"1985-05-02 00:00:00.000";"ja";"nein";"Rechnung";"-";"12.2007";"-";"18";"Sa";"1899-12-30 03:36:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"2";"nein";"1";"14,64";"2004-01-30 00:00:00.000";"0";"0";"[407387]"
"42777";"nein";"ja";"ja";"1964-12-11 00:00:00.000";"ja";"nein";"Rechnung";"-";"12.2005";"-";"9,99";"Sa";"1899-12-30 21:25:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"6";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[105958]"
"42778";"nein";"ja";"ja";"1959-12-16 00:00:00.000";"ja";"nein";"Rechnung";"-";"03.2006";"-";"36,2";"Fr";"1899-12-30 08:24:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"12";"nein";"1";"101,06";"2003-04-03 00:00:00.000";"0";"0";"[407669,107570]"
"42779";"nein";"nein";"nein";"1977-05-04 00:00:00.000";"ja";"nein";"Rechnung";"-";"03.2006";"-";"43,5";"Fr";"1899-12-30 04:18:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"ja";"nein";"nein";"5";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[309102]"
"42780";"nein";"nein";"nein";"1939-08-19 00:00:00.000";"ja";"nein";"Rechnung";"-";"07.2007";"-";"29,99";"Sa";"1899-12-30 07:49:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"5";"nein";"1";"125,29";"2002-05-15 00:00:00.000";"0";"0";"[504765]"
"42781";"nein";"ja";"nein";"1976-05-19 00:00:00.000";"ja";"nein";"Kreditkarte";"Eurocard";"02.2005";"ja";"90,3";"Do";"1899-12-30 07:56:00.000";"3";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"15";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[603136,306310,409102]"
"42783";"nein";"ja";"nein";"1956-06-07 00:00:00.000";"nein";"nein";"Lastschrift";"-";"07.2006";"ja";"100,3";"Mi";"1899-12-30 02:45:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"14";"nein";"2";"69,12";"2001-11-27 00:00:00.000";"0";"0";"[107344,402090]"
"42784";"nein";"ja";"nein";"1974-09-05 00:00:00.000";"ja";"nein";"Rechnung";"-";"10.2006";"-";"92";"Mi";"1899-12-30 11:05:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"5";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[202399,407022]"
"42788";"nein";"ja";"ja";"1956-07-04 00:00:00.000";"nein";"nein";"Kreditkarte";"Eurocard";"02.2005";"ja";"15,19";"Sa";"1899-12-30 00:20:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[102697,406160]"
"42789";"nein";"ja";"nein";"1961-02-24 00:00:00.000";"ja";"nein";"Rechnung";"-";"02.2007";"-";"9,99";"Sa";"1899-12-30 18:15:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"nein";"1";"34,02";"2002-05-26 00:00:00.000";"0";"0";"[200450]"
"42791";"nein";"ja";"nein";"1983-10-02 00:00:00.000";"ja";"nein";"Kreditkarte";"Visa";"11.2005";"ja";"135,98";"So";"1899-12-30 07:25:00.000";"6";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"9";"nein";"2";"20,74";"2003-09-26 00:00:00.000";"0";"0";"[402246,209102,508801,105580,202469,608889]"
"42792";"nein";"ja";"nein";"1899-12-30 00:00:00.000";"nein";"nein";"Kreditkarte";"Visa";"11.2005";"ja";"46,5";"Mi";"1899-12-30 12:52:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"6";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[400822]"
"42794";"nein";"ja";"nein";"1973-09-08 00:00:00.000";"ja";"nein";"Rechnung";"-";"02.2006";"-";"22,95";"Mi";"1899-12-30 05:58:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"nein";"1";"6,96";"2004-11-11 00:00:00.000";"0";"0";"[201511]"
"42796";"nein";"ja";"nein";"1981-07-14 00:00:00.000";"ja";"nein";"Kreditkarte";"Visa";"05.2007";"ja";"54,5";"Mo";"1899-12-30 16:30:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"9";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[406036]"
"42797";"nein";"ja";"nein";"1973-01-24 00:00:00.000";"nein";"nein";"Kreditkarte";"Visa";"01.2005";"ja";"51";"So";"1899-12-30 17:34:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"4";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[202399]"
"42798";"nein";"ja";"nein";"1978-11-15 00:00:00.000";"ja";"ja";"Rechnung";"-";"05.2005";"-";"10,8";"Fr";"1899-12-30 07:10:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"6";"nein";"1";"109,78";"2003-06-11 00:00:00.000";"0";"0";"[508889]"
"42801";"nein";"ja";"ja";"1970-11-04 00:00:00.000";"ja";"nein";"Rechnung";"-";"11.2007";"-";"82,7";"So";"1899-12-30 12:31:00.000";"3";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"12";"nein";"2";"69,04";"2004-04-26 00:00:00.000";"0";"1";"[201373,102677,501371]"
"42802";"nein";"ja";"nein";"1978-09-02 00:00:00.000";"ja";"nein";"Kreditkarte";"Visa";"04.2005";"ja";"29,99";"Fr";"1899-12-30 15:08:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"12";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[206255]"
"42804";"nein";"ja";"ja";"1982-07-22 00:00:00.000";"nein";"nein";"Kreditkarte";"Eurocard";"03.2005";"ja";"19,99";"Mo";"1899-12-30 22:04:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"9";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[200767]"
"42806";"nein";"ja";"nein";"1966-04-29 00:00:00.000";"ja";"nein";"Rechnung";"-";"05.2005";"-";"52";"So";"1899-12-30 10:34:00.000";"1";"nein";"nein";"nein";"ja";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"8";"nein";"1";"175,88";"2003-07-25 00:00:00.000";"0";"2";"[407610]"
"42807";"nein";"ja";"ja";"1969-06-03 00:00:00.000";"ja";"ja";"Rechnung";"-";"10.2005";"-";"41";"Sa";"1899-12-30 14:27:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"6";"nein";"1";"17,13";"2004-06-25 00:00:00.000";"0";"1";"[405767]"
"42808";"nein";"ja";"nein";"1952-10-11 00:00:00.000";"nein";"nein";"Kundenkarte";"Kundenkarte";"05.2005";"ja";"8,5";"So";"1899-12-30 12:06:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"3";"nein";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[403950]"
"42810";"nein";"ja";"nein";"1953-08-15 00:00:00.000";"nein";"nein";"Kreditkarte";"Eurocard";"05.2005";"ja";"31,9";"Fr";"1899-12-30 15:56:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"8";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[200925]"
"42811";"nein";"ja";"nein";"1973-12-03 00:00:00.000";"nein";"nein";"Lastschrift";"-";"06.2006";"ja";"64,5";"Fr";"1899-12-30 14:59:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"11";"nein";"1";"49,45";"2004-03-31 00:00:00.000";"0";"0";"[402572]"
"42812";"nein";"ja";"nein";"1899-12-30 00:00:00.000";"ja";"nein";"Rechnung";"-";"12.2006";"-";"23,5";"So";"1899-12-30 23:44:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"7";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[404735]"
"42815";"nein";"ja";"nein";"1976-12-21 00:00:00.000";"ja";"nein";"Rechnung";"-";"10.2007";"-";"12,6";"So";"1899-12-30 06:42:00.000";"1";"ja";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"4";"nein";"1";"21,02";"2001-03-29 00:00:00.000";"0";"0";"[508499]"
"42816";"nein";"ja";"ja";"1978-04-24 00:00:00.000";"ja";"nein";"Rechnung";"-";"10.2005";"-";"29,99";"Sa";"1899-12-30 02:59:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[500953]"
"42817";"nein";"ja";"nein";"1962-08-17 00:00:00.000";"nein";"nein";"Kundenkarte";"Kundenkarte";"10.2006";"ja";"23,5";"Fr";"1899-12-30 19:27:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"7";"nein";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[407255]"
"42818";"nein";"ja";"nein";"1965-02-15 00:00:00.000";"nein";"nein";"Kreditkarte";"Eurocard";"06.2005";"ja";"39,5";"Do";"1899-12-30 09:05:00.000";"1";"nein";"ja";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"4";"nein";"3";"89,28";"2003-07-23 00:00:00.000";"0";"2";"[107610]"
"42819";"nein";"nein";"nein";"1967-01-27 00:00:00.000";"ja";"nein";"Rechnung";"-";"04.2006";"-";"96,5";"Mi";"1899-12-30 04:01:00.000";"3";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"ja";"21";"nein";"1";"72,23";"2003-01-25 00:00:00.000";"0";"0";"[108777,104258,202611]"
"42820";"nein";"ja";"nein";"1975-03-19 00:00:00.000";"nein";"nein";"Kreditkarte";"Eurocard";"07.2007";"ja";"14,5";"Do";"1899-12-30 03:44:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"4";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[306398]"
"42822";"nein";"ja";"nein";"1971-08-20 00:00:00.000";"ja";"nein";"Rechnung";"-";"08.2005";"-";"32,8";"Sa";"1899-12-30 05:56:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"5";"nein";"1";"73,33";"2004-11-05 00:00:00.000";"1";"1";"[409736]"
"42823";"nein";"nein";"nein";"1899-12-30 00:00:00.000";"ja";"nein";"Rechnung";"-";"05.2006";"-";"64,5";"So";"1899-12-30 15:39:00.000";"1";"nein";"nein";"ja";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"5";"nein";"1";"38,05";"2003-05-29 00:00:00.000";"0";"0";"[200293]"
"42824";"nein";"ja";"nein";"1976-03-04 00:00:00.000";"ja";"ja";"Kreditkarte";"Eurocard";"07.2006";"ja";"72,3";"So";"1899-12-30 11:12:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"10";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[402448,402243]"
"42827";"nein";"ja";"nein";"1974-05-07 00:00:00.000";"ja";"nein";"Rechnung";"-";"06.2007";"-";"43,5";"Di";"1899-12-30 17:17:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"7";"nein";"3";"48,57";"2001-11-26 00:00:00.000";"0";"0";"[400072]"
"42828";"nein";"ja";"nein";"1966-09-30 00:00:00.000";"ja";"nein";"Rechnung";"-";"10.2006";"-";"46,5";"Fr";"1899-12-30 09:35:00.000";"1";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"4";"nein";"2";"73,14";"2002-05-14 00:00:00.000";"0";"0";"[404944]"
"42829";"nein";"ja";"nein";"1984-09-25 00:00:00.000";"nein";"nein";"Kreditkarte";"Eurocard";"01.2005";"ja";"111";"Mi";"1899-12-30 10:04:00.000";"5";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"12";"ja";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[306858,406160,102448,405874,507359]"
"42830";"nein";"ja";"ja";"1978-08-29 00:00:00.000";"ja";"nein";"Kundenkarte";"Kundenkarte";"02.2005";"ja";"61";"Sa";"1899-12-30 03:25:00.000";"2";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"nein";"5";"nein";"0";"0";"1899-12-30 00:00:00.000";"0";"0";"[205378,104935]"
